"File","Line","FunctionName","Scope","RiskLevel","CurrentVerb","SuggestedVerb","SuggestedName","Message"
"src\services\NSXAPIService.ps1","5","","INTERNAL-SERVICE","MEDIUM","","Get","","Ignoring 'TypeNotFound' parse error on type 'CoreAPIService'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements."
"src\services\WorkflowOperationsService.ps1","1012","","INTERNAL-SERVICE","MEDIUM","","Get","","Ignoring 'TypeNotFound' parse error on type 'CoreServiceFactory'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements."
"src\utilities\PSScriptAnalyzerUtility.ps1","271","Fix-WriteHost","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-WriteHost","The cmdlet 'Fix-WriteHost' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","284","Fix-CmdletAliases","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-CmdletAliases","The cmdlet 'Fix-CmdletAliases' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","370","Fix-UnusedVariables","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-UnusedVariables","The cmdlet 'Fix-UnusedVariables' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","382","Fix-PlainTextPassword","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-PlainTextPassword","The cmdlet 'Fix-PlainTextPassword' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","390","Fix-PlainTextPassword","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-PlainTextPassword","The cmdlet 'Fix-ConvertToSecureString' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","398","Fix-ConvertToSecureString","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-ConvertToSecureString","The cmdlet 'Fix-EmptyCatchBlock' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","410","Fix-UnapprovedVerbs","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-UnapprovedVerbs","The cmdlet 'Fix-UnapprovedVerbs' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","418","Fix-UnapprovedVerbs","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-UnapprovedVerbs","The cmdlet 'Fix-PluralNouns' uses an unapproved verb."
"src\utilities\PSScriptAnalyzerUtility.ps1","426","Fix-PluralNouns","INTERNAL-UTILITY","LOW","Fix","Repair","Repair-PluralNouns","The cmdlet 'Fix-MandatoryParameterDefaults' uses an unapproved verb."
"tools\NSXConfigSync-v2.ps1","1828","to","PUBLIC-TOOL","HIGH","","Get","to","The cmdlet 'Filter-ConfigurationByResourceTypes' uses an unapproved verb."
"tools\NSXConfigSync-v2.ps1","1848","to","PUBLIC-TOOL","HIGH","","Get","to","The cmdlet 'Filter-ConfigurationByDomain' uses an unapproved verb."
"tools\NSXConfigSync.ps1","1858","to","PUBLIC-TOOL","HIGH","","Get","to","The cmdlet 'Filter-ConfigurationByResourceTypes' uses an unapproved verb."
"tools\NSXConfigSync.ps1","1878","to","PUBLIC-TOOL","HIGH","","Get","to","The cmdlet 'Filter-ConfigurationByDomain' uses an unapproved verb."
